date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue,match_rate,fill_rate,ctr,rpm,ecpm,rpm_7d_avg,anomaly_type,anomaly_detail
2026-02-26,sports,desktop,MX,top_banner,3063,2962,3589,59,8.17,0.967026,1.211681,0.016439,2.66732,2.2764,,impressions_gt_matched_requests,impressions (3589) is greater than matched_requests (2962).
2026-03-01,technology,desktop,AR,video_preroll,535,515,1405,7,2.89,0.962617,2.728155,0.004982,5.401869,2.05694,3.715529,impressions_gt_matched_requests,impressions (1405) is greater than matched_requests (515).
2026-03-01,home,tablet,MX,video_preroll,487,442,362,2,0.8,0.907598,0.819005,0.005525,1.64271,2.209945,3.1125473333333336,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.6427; previous 7-day average is 3.1125.
2026-03-01,home,tablet,US,sidebar_rectangle,1497,1409,1369,23,1.74,0.941216,0.971611,0.016801,1.162325,1.271001,3.1160099999999997,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1623; previous 7-day average is 3.1160.
2026-03-01,news,desktop,BR,in_article,5869,4795,4327,75,9.66,0.817005,0.902398,0.017333,1.645936,2.232494,2.714928,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.6459; previous 7-day average is 2.7149.
2026-03-01,news,desktop,BR,sidebar_rectangle,5319,4672,3653,31,4.12,0.878361,0.781892,0.008486,0.774582,1.12784,1.5335166666666666,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7746; previous 7-day average is 1.5335.
2026-03-01,news,desktop,MX,top_banner,3141,2492,2155,29,3.17,0.793378,0.864767,0.013457,1.009233,1.470998,1.587836,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0092; previous 7-day average is 1.5878.
2026-03-01,news,desktop,US,video_preroll,1300,1090,963,3,2.51,0.838462,0.883486,0.003115,1.930769,2.606438,5.748936333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.9308; previous 7-day average is 5.7489.
2026-03-01,news,mobile,AR,in_article,3271,2590,2030,13,3.89,0.791807,0.783784,0.006404,1.189239,1.916256,1.8941696666666665,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1892; previous 7-day average is 1.8942.
2026-03-01,news,mobile,AR,video_preroll,1095,856,703,6,2.07,0.781735,0.821262,0.008535,1.890411,2.944523,4.206629666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.8904; previous 7-day average is 4.2066.
2026-03-01,news,mobile,BR,in_article,8138,7448,7067,64,4.61,0.915213,0.948845,0.009056,0.566478,0.652328,2.3849839999999998,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5665; previous 7-day average is 2.3850.
2026-03-01,news,mobile,BR,sidebar_rectangle,5555,4706,3704,34,6.83,0.847165,0.78708,0.009179,1.229523,1.843952,2.615690666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2295; previous 7-day average is 2.6157.
2026-03-01,news,mobile,MX,in_article,4415,4168,3299,39,4.46,0.944054,0.791507,0.011822,1.010193,1.351925,1.9801096666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0102; previous 7-day average is 1.9801.
2026-03-01,news,mobile,MX,sidebar_rectangle,2673,2366,2162,47,4.43,0.885148,0.913779,0.021739,1.657314,2.049029,2.3889203333333335,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.6573; previous 7-day average is 2.3889.
2026-03-01,news,mobile,MX,top_banner,5065,4423,3530,19,3.32,0.873248,0.798101,0.005382,0.655479,0.94051,1.5464423333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6555; previous 7-day average is 1.5464.
2026-03-01,news,mobile,US,sidebar_rectangle,3969,3631,3546,81,4.37,0.91484,0.97659,0.022843,1.101033,1.232375,2.978049666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1010; previous 7-day average is 2.9780.
2026-03-01,news,tablet,AR,sidebar_rectangle,602,567,451,8,0.98,0.94186,0.795414,0.017738,1.627907,2.172949,2.727092666666666,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.6279; previous 7-day average is 2.7271.
2026-03-01,news,tablet,BR,sidebar_rectangle,1734,1532,1372,16,1.21,0.883506,0.895561,0.011662,0.697809,0.881924,2.5780363333333334,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6978; previous 7-day average is 2.5780.
2026-03-01,news,tablet,BR,top_banner,3097,2566,2514,60,2.06,0.828544,0.979735,0.023866,0.66516,0.819411,1.0993199999999999,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6652; previous 7-day average is 1.0993.
2026-03-01,news,tablet,BR,video_preroll,849,678,528,4,0.66,0.798587,0.778761,0.007576,0.777385,1.25,2.8157383333333335,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7774; previous 7-day average is 2.8157.
2026-03-01,news,tablet,MX,in_article,1023,912,848,12,0.65,0.891496,0.929825,0.014151,0.635386,0.766509,1.8363526666666665,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6354; previous 7-day average is 1.8364.
2026-03-01,news,tablet,MX,sidebar_rectangle,642,505,420,7,0.81,0.786604,0.831683,0.016667,1.261682,1.928571,2.868737,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2617; previous 7-day average is 2.8687.
2026-03-01,news,tablet,MX,video_preroll,380,331,300,4,0.97,0.871053,0.906344,0.013333,2.552632,3.233333,4.176566333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.5526; previous 7-day average is 4.1766.
2026-03-01,news,tablet,US,sidebar_rectangle,1138,893,726,10,2.15,0.78471,0.81299,0.013774,1.889279,2.961433,3.576690333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.8893; previous 7-day average is 3.5767.
2026-03-01,news,tablet,US,video_preroll,592,561,462,5,2.42,0.947635,0.823529,0.010823,4.087838,5.238095,7.430534333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 4.0878; previous 7-day average is 7.4305.
2026-03-01,sports,desktop,AR,in_article,2036,1647,1555,27,1.28,0.808939,0.944141,0.017363,0.628684,0.823151,1.7137930000000001,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6287; previous 7-day average is 1.7138.
2026-03-01,sports,desktop,AR,top_banner,2768,2216,1869,33,4.12,0.800578,0.843412,0.017657,1.488439,2.204387,2.360678333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.4884; previous 7-day average is 2.3607.
2026-03-01,sports,desktop,MX,top_banner,3161,2465,2223,53,5.98,0.779817,0.901826,0.023842,1.891806,2.690058,2.577792666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.8918; previous 7-day average is 2.5778.
2026-03-01,sports,desktop,US,in_article,3372,3108,2504,44,10.74,0.921708,0.805663,0.017572,3.185053,4.289137,4.3618483333333335,rpm_drop_gt_25pct_vs_7d_avg,rpm is 3.1851; previous 7-day average is 4.3618.
2026-03-01,sports,mobile,AR,in_article,2818,2603,2166,58,0.0,0.923705,0.832117,0.026777,0.0,0.0,1.8672416666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.0000; previous 7-day average is 1.8672.
2026-03-01,sports,mobile,BR,in_article,7581,7273,6230,71,7.15,0.959372,0.856593,0.011396,0.943147,1.147673,1.7138273333333334,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9431; previous 7-day average is 1.7138.
2026-03-01,sports,mobile,BR,video_preroll,2996,2399,2188,31,3.54,0.800734,0.912047,0.014168,1.181575,1.617916,4.118073,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1816; previous 7-day average is 4.1181.
2026-03-01,sports,tablet,AR,sidebar_rectangle,528,472,430,6,0.53,0.893939,0.911017,0.013953,1.003788,1.232558,2.0151896666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0038; previous 7-day average is 2.0152.
2026-03-01,sports,tablet,AR,top_banner,1039,995,757,6,1.16,0.957652,0.760804,0.007926,1.116458,1.532365,2.4794326666666664,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1165; previous 7-day average is 2.4794.
2026-03-01,sports,tablet,MX,video_preroll,341,294,241,1,1.06,0.86217,0.819728,0.004149,3.108504,4.39834,4.881220333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 3.1085; previous 7-day average is 4.8812.
2026-03-01,sports,tablet,US,sidebar_rectangle,972,814,698,9,2.21,0.837449,0.857494,0.012894,2.273663,3.166189,3.3995336666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.2737; previous 7-day average is 3.3995.
2026-03-01,technology,desktop,AR,sidebar_rectangle,939,873,757,17,0.71,0.929712,0.867125,0.022457,0.756124,0.937913,1.3315663333333332,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7561; previous 7-day average is 1.3316.
2026-03-01,technology,desktop,MX,sidebar_rectangle,1248,1083,904,10,1.49,0.867788,0.834718,0.011062,1.19391,1.64823,1.8490733333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1939; previous 7-day average is 1.8491.
2026-03-01,technology,desktop,MX,video_preroll,674,546,533,4,0.93,0.810089,0.97619,0.007505,1.379822,1.744841,2.2216826666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.3798; previous 7-day average is 2.2217.
2026-03-01,technology,mobile,AR,in_article,2466,2102,1615,33,1.59,0.852393,0.768316,0.020433,0.644769,0.98452,1.1877253333333335,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6448; previous 7-day average is 1.1877.
2026-03-01,technology,mobile,AR,sidebar_rectangle,1625,1499,1278,15,1.05,0.922462,0.852568,0.011737,0.646154,0.821596,1.8174736666666667,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.6462; previous 7-day average is 1.8175.
2026-03-01,technology,mobile,BR,sidebar_rectangle,4566,4072,3150,85,4.5,0.891809,0.773576,0.026984,0.985545,1.428571,2.3658333333333332,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9855; previous 7-day average is 2.3658.
2026-03-01,technology,mobile,MX,in_article,2637,2345,1967,41,3.38,0.889268,0.838806,0.020844,1.28176,1.718353,2.59695,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2818; previous 7-day average is 2.5970.
2026-03-01,technology,mobile,MX,top_banner,3549,2930,2497,24,2.78,0.825585,0.852218,0.009612,0.783319,1.113336,2.0296316666666665,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7833; previous 7-day average is 2.0296.
2026-03-01,technology,tablet,AR,sidebar_rectangle,460,429,367,8,0.35,0.932609,0.855478,0.021798,0.76087,0.953678,2.1776723333333337,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7609; previous 7-day average is 2.1777.
2026-03-01,technology,tablet,BR,in_article,1640,1496,1209,15,0.89,0.912195,0.808155,0.012407,0.542683,0.736146,2.050403333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5427; previous 7-day average is 2.0504.
2026-03-01,technology,tablet,BR,video_preroll,668,555,423,2,1.35,0.830838,0.762162,0.004728,2.020958,3.191489,5.0049719999999995,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.0210; previous 7-day average is 5.0050.
2026-03-01,technology,tablet,MX,sidebar_rectangle,445,371,317,7,0.25,0.833708,0.854447,0.022082,0.561798,0.788644,1.5213223333333332,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5618; previous 7-day average is 1.5213.
2026-03-01,technology,tablet,US,sidebar_rectangle,809,697,589,9,1.51,0.861557,0.84505,0.01528,1.866502,2.563667,2.8515383333333335,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.8665; previous 7-day average is 2.8515.
2026-03-01,sports,mobile,AR,in_article,2818,2603,2166,58,0.0,0.923705,0.832117,0.026777,0.0,0.0,1.8672416666666667,zero_revenue_high_impressions,estimated_revenue is zero with 2166 impressions (threshold: 1000).
2026-03-02,home,desktop,BR,in_article,7709,7417,7177,172,6.45,0.962122,0.967642,0.023965,0.836684,0.898704,1.633999,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8367; previous 7-day average is 1.6340.
2026-03-02,home,desktop,BR,top_banner,9651,7912,6171,176,10.57,0.819811,0.779954,0.02852,1.095223,1.71285,1.76249925,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0952; previous 7-day average is 1.7625.
2026-03-02,home,desktop,BR,video_preroll,2803,2255,2058,15,7.01,0.804495,0.912639,0.007289,2.500892,3.40622,5.354163,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.5009; previous 7-day average is 5.3542.
2026-03-02,home,desktop,MX,in_article,2979,2563,1993,26,3.0,0.860356,0.777604,0.013046,1.007049,1.505268,2.1376535,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0070; previous 7-day average is 2.1377.
2026-03-02,home,desktop,MX,sidebar_rectangle,2133,1702,1463,19,1.9,0.797937,0.859577,0.012987,0.890764,1.298701,2.7763685000000002,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8908; previous 7-day average is 2.7764.
2026-03-02,home,desktop,US,in_article,4351,3513,3073,29,4.41,0.807401,0.874751,0.009437,1.01356,1.43508,2.77483825,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0136; previous 7-day average is 2.7748.
2026-03-02,home,desktop,US,top_banner,5590,4889,3885,62,7.02,0.874597,0.794641,0.015959,1.255814,1.80695,3.371722,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2558; previous 7-day average is 3.3717.
2026-03-02,home,mobile,AR,sidebar_rectangle,2681,2265,2044,36,2.01,0.844834,0.902428,0.017613,0.74972,0.983366,1.7244885,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7497; previous 7-day average is 1.7245.
2026-03-02,home,mobile,AR,video_preroll,1291,1052,843,11,1.96,0.814872,0.801331,0.013049,1.518203,2.32503,3.5638195,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.5182; previous 7-day average is 3.5638.
2026-03-02,home,mobile,MX,video_preroll,1508,1424,1190,23,2.99,0.944297,0.835674,0.019328,1.982759,2.512605,3.257416,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.9828; previous 7-day average is 3.2574.
2026-03-02,home,mobile,US,sidebar_rectangle,3907,3278,2779,21,5.78,0.839007,0.847773,0.007557,1.479396,2.079885,3.3923757500000002,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.4794; previous 7-day average is 3.3924.
2026-03-02,home,mobile,US,top_banner,9612,9299,8804,264,21.39,0.967437,0.946768,0.029986,2.225343,2.429577,4.0922272500000005,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.2253; previous 7-day average is 4.0922.
2026-03-02,home,tablet,AR,in_article,1164,1077,1016,9,1.46,0.925258,0.943361,0.008858,1.254296,1.437008,1.99878975,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2543; previous 7-day average is 1.9988.
2026-03-02,home,tablet,BR,in_article,3094,2622,2362,45,2.59,0.847447,0.900839,0.019052,0.837104,1.096528,2.46445075,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8371; previous 7-day average is 2.4645.
2026-03-02,home,tablet,MX,in_article,1325,1196,1019,9,0.77,0.902642,0.852007,0.008832,0.581132,0.755643,1.1890005000000001,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5811; previous 7-day average is 1.1890.
2026-03-02,home,tablet,MX,top_banner,1686,1405,1282,37,1.67,0.833333,0.912456,0.028861,0.99051,1.302652,1.60486575,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9905; previous 7-day average is 1.6049.
2026-03-02,home,tablet,US,video_preroll,661,603,479,6,1.44,0.912254,0.794362,0.012526,2.178517,3.006263,5.91254325,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.1785; previous 7-day average is 5.9125.
2026-03-02,news,desktop,AR,sidebar_rectangle,1214,1011,981,28,1.64,0.832784,0.970326,0.028542,1.350906,1.671764,1.81600225,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.3509; previous 7-day average is 1.8160.
2026-03-02,news,desktop,AR,top_banner,2807,2616,2183,17,2.89,0.931956,0.83448,0.007787,1.029569,1.323866,1.5095855,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0296; previous 7-day average is 1.5096.
2026-03-02,news,desktop,BR,in_article,5851,5493,4512,83,4.84,0.938814,0.821409,0.018395,0.827209,1.072695,2.44768,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8272; previous 7-day average is 2.4477.
2026-03-02,news,desktop,BR,video_preroll,1623,1455,1344,21,3.23,0.896488,0.923711,0.015625,1.990142,2.403274,4.21297475,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.9901; previous 7-day average is 4.2130.
2026-03-02,news,desktop,MX,in_article,2614,2422,1876,16,3.81,0.926549,0.774566,0.008529,1.457536,2.030917,2.275015,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.4575; previous 7-day average is 2.2750.
2026-03-02,news,desktop,MX,top_banner,2833,2509,2048,64,1.57,0.885634,0.816261,0.03125,0.554183,0.766602,1.44318525,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5542; previous 7-day average is 1.4432.
2026-03-02,news,desktop,MX,video_preroll,851,779,637,11,0.83,0.915394,0.817715,0.017268,0.975323,1.302983,2.53338225,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9753; previous 7-day average is 2.5334.
2026-03-02,news,desktop,US,sidebar_rectangle,2670,2577,2346,21,2.55,0.965169,0.910361,0.008951,0.955056,1.086957,3.56107825,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9551; previous 7-day average is 3.5611.
2026-03-02,news,desktop,US,top_banner,4879,4221,3395,80,10.18,0.865136,0.804312,0.023564,2.086493,2.998527,2.90146975,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.0865; previous 7-day average is 2.9015.
2026-03-02,news,mobile,AR,sidebar_rectangle,2135,1930,1848,44,2.05,0.903981,0.957513,0.02381,0.960187,1.109307,2.02578725,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9602; previous 7-day average is 2.0258.
2026-03-02,news,mobile,AR,video_preroll,968,844,812,14,1.5,0.871901,0.962085,0.017241,1.549587,1.847291,3.627575,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.5496; previous 7-day average is 3.6276.
2026-03-02,news,mobile,MX,sidebar_rectangle,2600,2250,1812,33,3.01,0.865385,0.805333,0.018212,1.157692,1.661148,2.20601875,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1577; previous 7-day average is 2.2060.
2026-03-02,news,mobile,MX,video_preroll,1161,993,894,6,1.16,0.855297,0.900302,0.006711,0.999139,1.297539,2.86195775,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9991; previous 7-day average is 2.8620.
2026-03-02,news,tablet,AR,in_article,887,703,537,2,1.34,0.792559,0.763869,0.003724,1.51071,2.495345,2.191153,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.5107; previous 7-day average is 2.1912.
2026-03-02,news,tablet,AR,sidebar_rectangle,588,472,371,7,0.55,0.802721,0.786017,0.018868,0.935374,1.48248,2.45229625,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9354; previous 7-day average is 2.4523.
2026-03-02,news,tablet,MX,sidebar_rectangle,650,608,535,11,0.46,0.935385,0.879934,0.020561,0.707692,0.859813,2.46697325,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7077; previous 7-day average is 2.4670.
2026-03-02,news,tablet,MX,top_banner,1208,1086,949,25,1.5,0.899007,0.873849,0.026344,1.241722,1.580611,1.98932025,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2417; previous 7-day average is 1.9893.
2026-03-02,news,tablet,US,top_banner,2250,2013,1567,9,2.23,0.894667,0.77844,0.005743,0.991111,1.423101,3.33552725,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9911; previous 7-day average is 3.3355.
2026-03-02,news,tablet,US,video_preroll,598,467,367,4,1.93,0.780936,0.785867,0.010899,3.227425,5.258856,6.59486025,rpm_drop_gt_25pct_vs_7d_avg,rpm is 3.2274; previous 7-day average is 6.5949.
2026-03-02,sports,desktop,AR,in_article,1514,1322,1253,32,0.9,0.873184,0.947806,0.025539,0.594452,0.718276,1.44251575,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5945; previous 7-day average is 1.4425.
2026-03-02,sports,desktop,AR,top_banner,2227,2158,1690,19,3.27,0.969017,0.783133,0.011243,1.468343,1.934911,2.1426185,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.4683; previous 7-day average is 2.1426.
2026-03-02,sports,desktop,BR,in_article,5311,4381,3615,45,2.88,0.824892,0.825154,0.012448,0.542271,0.79668,1.90948775,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5423; previous 7-day average is 1.9095.
2026-03-02,sports,desktop,MX,in_article,1807,1491,1404,43,3.23,0.825125,0.94165,0.030627,1.787493,2.30057,2.7000745000000004,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.7875; previous 7-day average is 2.7001.
2026-03-02,sports,desktop,MX,sidebar_rectangle,1362,1266,1029,29,1.71,0.929515,0.812796,0.028183,1.255507,1.661808,2.20659325,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2555; previous 7-day average is 2.2066.
2026-03-02,sports,desktop,US,in_article,3098,2760,2124,57,7.13,0.890897,0.769565,0.026836,2.301485,3.356874,4.0676495,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.3015; previous 7-day average is 4.0676.
2026-03-02,sports,desktop,US,sidebar_rectangle,2068,1741,1694,15,3.14,0.841876,0.973004,0.008855,1.518375,1.853601,3.99125725,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.5184; previous 7-day average is 3.9913.
2026-03-02,sports,desktop,US,top_banner,3232,2922,2645,49,7.6,0.904084,0.905202,0.018526,2.351485,2.873346,3.95333375,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.3515; previous 7-day average is 3.9533.
2026-03-02,sports,mobile,AR,in_article,2444,1912,1454,26,2.54,0.782324,0.76046,0.017882,1.03928,1.746905,1.40043125,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.0393; previous 7-day average is 1.4004.
2026-03-02,sports,mobile,AR,video_preroll,770,620,503,1,1.59,0.805195,0.81129,0.001988,2.064935,3.161034,3.524122,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.0649; previous 7-day average is 3.5241.
2026-03-02,sports,mobile,BR,top_banner,9280,7560,5859,131,4.9,0.814655,0.775,0.022359,0.528017,0.83632,2.2413565,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5280; previous 7-day average is 2.2414.
2026-03-02,sports,mobile,US,in_article,4667,4281,3437,100,3.97,0.917292,0.80285,0.029095,0.850654,1.155077,2.41161375,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8507; previous 7-day average is 2.4116.
2026-03-02,sports,tablet,AR,video_preroll,244,232,209,3,0.56,0.95082,0.900862,0.014354,2.295082,2.679426,3.06697875,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.2951; previous 7-day average is 3.0670.
2026-03-02,sports,tablet,BR,in_article,2065,1727,1602,17,1.53,0.83632,0.92762,0.010612,0.74092,0.955056,2.3369299999999997,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7409; previous 7-day average is 2.3369.
2026-03-02,sports,tablet,BR,top_banner,2547,2411,1897,13,3.28,0.946604,0.78681,0.006853,1.28779,1.729046,2.18901975,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.2878; previous 7-day average is 2.1890.
2026-03-02,sports,tablet,MX,video_preroll,293,230,202,2,0.63,0.784983,0.878261,0.009901,2.150171,3.118812,4.43804125,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.1502; previous 7-day average is 4.4380.
2026-03-02,sports,tablet,US,in_article,1320,1246,985,14,1.26,0.943939,0.79053,0.014213,0.954545,1.279188,3.055739,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9545; previous 7-day average is 3.0557.
2026-03-02,sports,tablet,US,sidebar_rectangle,847,819,711,9,1.81,0.966942,0.868132,0.012658,2.136954,2.54571,3.118066,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.1370; previous 7-day average is 3.1181.
2026-03-02,sports,tablet,US,top_banner,1443,1304,1129,20,1.7,0.903673,0.865798,0.017715,1.178101,1.505757,3.5293425000000003,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1781; previous 7-day average is 3.5293.
2026-03-02,sports,tablet,US,video_preroll,376,311,286,2,0.72,0.827128,0.919614,0.006993,1.914894,2.517483,4.499855999999999,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.9149; previous 7-day average is 4.4999.
2026-03-02,technology,desktop,AR,in_article,1392,1098,866,18,1.22,0.788793,0.788707,0.020785,0.876437,1.408776,2.2257715,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.8764; previous 7-day average is 2.2258.
