date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue,match_rate,fill_rate,ctr,rpm,ecpm
2026-02-26,home,mobile,US,in_article,7391,6420,4941,41,23.81,0.868624,0.769626,0.008298,3.221486,4.818863
2026-02-26,home,mobile,US,sidebar_rectangle,6167,5943,4942,71,17.93,0.963678,0.831567,0.014367,2.90741,3.628086
2026-02-26,home,mobile,US,top_banner,9606,8139,7923,229,42.4,0.847283,0.973461,0.028903,4.413908,5.351508
2026-02-26,home,mobile,US,video_preroll,2977,2395,2070,13,17.68,0.804501,0.864301,0.00628,5.938865,8.541063
2026-02-26,home,tablet,AR,in_article,1083,849,748,16,0.77,0.783934,0.881037,0.02139,0.710988,1.029412
2026-02-26,home,tablet,AR,sidebar_rectangle,800,687,668,13,2.68,0.85875,0.972344,0.019461,3.35,4.011976
2026-02-26,home,tablet,AR,top_banner,1431,1249,1131,34,1.9,0.872816,0.905524,0.030062,1.327743,1.679929
2026-02-26,home,tablet,AR,video_preroll,402,349,325,0,0.61,0.868159,0.931232,0.0,1.517413,1.876923
2026-02-26,home,tablet,BR,in_article,3834,3594,3370,43,13.75,0.937402,0.937674,0.01276,3.586333,4.080119
2026-02-26,home,tablet,BR,sidebar_rectangle,2338,2052,1675,50,2.08,0.877673,0.816277,0.029851,0.889649,1.241791
2026-02-26,home,tablet,BR,top_banner,4530,4321,3502,17,9.27,0.953863,0.810461,0.004854,2.046358,2.647059
2026-02-26,home,tablet,BR,video_preroll,1133,977,955,17,5.75,0.862312,0.977482,0.017801,5.075022,6.020942
2026-02-26,home,tablet,MX,in_article,1531,1232,1119,8,2.77,0.804703,0.908279,0.007149,1.809275,2.475424
2026-02-26,home,tablet,MX,sidebar_rectangle,888,790,635,16,2.05,0.88964,0.803797,0.025197,2.308559,3.228346
2026-02-26,home,tablet,MX,top_banner,1855,1789,1556,12,1.09,0.96442,0.86976,0.007712,0.587601,0.700514
2026-02-26,home,tablet,MX,video_preroll,442,355,279,5,1.05,0.803167,0.785915,0.017921,2.375566,3.763441
2026-02-26,home,tablet,US,in_article,2059,1752,1367,34,3.38,0.850898,0.780251,0.024872,1.641574,2.472568
2026-02-26,home,tablet,US,sidebar_rectangle,1330,1098,864,23,1.61,0.825564,0.786885,0.02662,1.210526,1.863426
2026-02-26,home,tablet,US,top_banner,2765,2626,2295,29,12.2,0.949729,0.873953,0.012636,4.412297,5.315904
2026-02-26,home,tablet,US,video_preroll,741,662,630,3,3.11,0.893387,0.951662,0.004762,4.197031,4.936508
2026-02-26,news,desktop,AR,in_article,2477,2231,1755,35,5.48,0.900686,0.786643,0.019943,2.212354,3.122507
2026-02-26,news,desktop,AR,sidebar_rectangle,1458,1263,1189,14,2.74,0.866255,0.941409,0.011775,1.879287,2.304458
2026-02-26,news,desktop,AR,top_banner,2680,2592,2379,72,2.56,0.967164,0.917824,0.030265,0.955224,1.076082
2026-02-26,news,desktop,AR,video_preroll,702,587,564,9,1.06,0.836182,0.960818,0.015957,1.509972,1.879433
2026-02-26,news,desktop,BR,in_article,5634,5181,4168,97,15.62,0.919595,0.804478,0.023273,2.772453,3.747601
2026-02-26,news,desktop,BR,sidebar_rectangle,4154,3725,2908,70,2.77,0.896726,0.780671,0.024072,0.666827,0.952545
2026-02-26,news,desktop,BR,top_banner,8717,7880,7383,139,21.62,0.903981,0.936929,0.018827,2.480211,2.928349
2026-02-26,news,desktop,BR,video_preroll,1873,1509,1465,25,7.35,0.805659,0.970842,0.017065,3.924186,5.017065
2026-02-26,news,desktop,MX,in_article,2553,2361,1934,27,3.45,0.924794,0.819144,0.013961,1.351351,1.783868
2026-02-26,news,desktop,MX,sidebar_rectangle,1714,1385,1337,21,2.71,0.808051,0.965343,0.015707,1.581097,2.026926
2026-02-26,news,desktop,MX,top_banner,3308,2843,2644,60,4.89,0.859432,0.930004,0.022693,1.478235,1.84947
2026-02-26,news,desktop,MX,video_preroll,1006,890,859,14,3.67,0.884692,0.965169,0.016298,3.648111,4.27241
2026-02-26,news,desktop,US,in_article,3670,3292,2625,52,11.03,0.897003,0.797388,0.01981,3.00545,4.201905
2026-02-26,news,desktop,US,sidebar_rectangle,2193,1928,1789,47,6.72,0.879161,0.927905,0.026272,3.064295,3.756288
2026-02-26,news,desktop,US,top_banner,5226,4865,4709,52,20.25,0.930922,0.967934,0.011043,3.874856,4.300276
2026-02-26,news,desktop,US,video_preroll,1162,1111,873,4,2.35,0.95611,0.785779,0.004582,2.022375,2.691867
2026-02-26,news,mobile,AR,in_article,2980,2594,2209,23,4.36,0.87047,0.851581,0.010412,1.463087,1.973744
2026-02-26,news,mobile,AR,sidebar_rectangle,2273,1914,1614,37,2.77,0.842059,0.84326,0.022924,1.218654,1.716233
2026-02-26,news,mobile,AR,top_banner,4401,3819,3225,70,5.19,0.867757,0.844462,0.021705,1.179277,1.609302
2026-02-26,news,mobile,AR,video_preroll,1217,1161,1005,8,4.66,0.953985,0.865633,0.00796,3.829088,4.636816
2026-02-26,news,mobile,BR,in_article,8403,7151,6104,135,23.03,0.851006,0.853587,0.022117,2.740688,3.772936
2026-02-26,news,mobile,BR,sidebar_rectangle,5362,4434,3600,89,12.92,0.82693,0.811908,0.024722,2.409549,3.588889
2026-02-26,news,mobile,BR,top_banner,10594,9867,8003,150,22.66,0.931376,0.811087,0.018743,2.138947,2.831438
2026-02-26,news,mobile,BR,video_preroll,3882,3077,2740,14,17.85,0.792633,0.890478,0.005109,4.598145,6.514599
2026-02-26,news,mobile,MX,in_article,3358,3151,2430,72,2.45,0.938356,0.771184,0.02963,0.729601,1.00823
2026-02-26,news,mobile,MX,sidebar_rectangle,2741,2608,2544,67,8.79,0.951478,0.97546,0.026336,3.206859,3.455189
2026-02-26,news,mobile,MX,top_banner,5789,4789,4241,66,3.51,0.827259,0.885571,0.015562,0.606322,0.827635
2026-02-26,news,mobile,MX,video_preroll,1329,1233,973,12,4.38,0.927765,0.789132,0.012333,3.295711,4.501542
2026-02-26,news,mobile,US,in_article,5643,4525,3460,19,6.86,0.801878,0.764641,0.005491,1.215665,1.982659
2026-02-26,news,mobile,US,sidebar_rectangle,3773,3366,3062,45,8.52,0.892128,0.909685,0.014696,2.25815,2.782495
2026-02-26,news,mobile,US,top_banner,6735,5437,5233,45,13.59,0.807275,0.962479,0.008599,2.017817,2.596981
2026-02-26,news,mobile,US,video_preroll,2056,1945,1842,6,6.7,0.946012,0.947044,0.003257,3.258755,3.637351
2026-02-26,news,tablet,AR,in_article,865,720,595,9,1.7,0.83237,0.826389,0.015126,1.965318,2.857143
2026-02-26,news,tablet,AR,sidebar_rectangle,594,509,432,4,1.2,0.856902,0.848723,0.009259,2.020202,2.777778
2026-02-26,news,tablet,AR,top_banner,1136,995,844,14,0.91,0.87588,0.848241,0.016588,0.801056,1.078199
2026-02-26,news,tablet,AR,video_preroll,281,221,188,2,0.49,0.786477,0.850679,0.010638,1.743772,2.606383
2026-02-26,news,tablet,BR,in_article,2484,1980,1895,9,2.87,0.797101,0.957071,0.004749,1.155395,1.514512
2026-02-26,news,tablet,BR,sidebar_rectangle,1677,1555,1249,36,3.76,0.927251,0.803215,0.028823,2.242099,3.010408
2026-02-26,news,tablet,BR,top_banner,2568,2432,2000,54,2.07,0.94704,0.822368,0.027,0.806075,1.035
2026-02-26,news,tablet,BR,video_preroll,863,674,519,7,3.3,0.780997,0.77003,0.013487,3.82387,6.358382
2026-02-26,news,tablet,MX,in_article,1109,884,707,22,1.63,0.797115,0.799774,0.031117,1.469793,2.305516
2026-02-26,news,tablet,MX,sidebar_rectangle,739,665,589,4,2.39,0.899865,0.885714,0.006791,3.2341,4.057725
2026-02-26,news,tablet,MX,top_banner,1365,1224,941,27,3.02,0.896703,0.768791,0.028693,2.212454,3.209352
2026-02-26,news,tablet,MX,video_preroll,360,320,292,4,2.12,0.888889,0.9125,0.013699,5.888889,7.260274
2026-02-26,news,tablet,US,in_article,1622,1480,1397,7,2.98,0.912454,0.943919,0.005011,1.837238,2.133142
2026-02-26,news,tablet,US,sidebar_rectangle,1225,1102,1043,8,5.33,0.899592,0.946461,0.00767,4.35102,5.110259
2026-02-26,news,tablet,US,top_banner,1805,1699,1312,34,8.11,0.941274,0.772219,0.025915,4.493075,6.181402
2026-02-26,news,tablet,US,video_preroll,533,443,405,8,3.22,0.831144,0.914221,0.019753,6.041276,7.950617
2026-02-26,sports,desktop,AR,in_article,1563,1448,1376,33,4.86,0.926424,0.950276,0.023983,3.109405,3.531977
2026-02-26,sports,desktop,AR,sidebar_rectangle,1245,1026,920,25,0.61,0.824096,0.896686,0.027174,0.48996,0.663043
2026-02-26,sports,desktop,AR,top_banner,2342,1992,1535,10,4.73,0.850555,0.770582,0.006515,2.019641,3.081433
2026-02-26,sports,desktop,AR,video_preroll,647,587,449,4,3.13,0.907264,0.764906,0.008909,4.837713,6.971047
2026-02-26,sports,desktop,BR,in_article,5004,4767,4238,117,7.95,0.952638,0.889029,0.027607,1.588729,1.875885
2026-02-26,sports,desktop,BR,sidebar_rectangle,3240,2772,2666,57,3.44,0.855556,0.96176,0.02138,1.061728,1.290323
2026-02-26,sports,desktop,BR,top_banner,6802,6396,5539,141,20.59,0.940312,0.86601,0.025456,3.027051,3.717277
2026-02-26,sports,desktop,BR,video_preroll,1939,1583,1211,23,4.93,0.8164,0.765003,0.018993,2.542548,4.071016
2026-02-26,sports,desktop,MX,in_article,2045,1643,1263,32,3.05,0.803423,0.768716,0.025337,1.491443,2.414885
2026-02-26,sports,desktop,MX,sidebar_rectangle,1560,1354,1320,20,4.63,0.867949,0.974889,0.015152,2.967949,3.507576
2026-02-26,sports,desktop,MX,top_banner,3063,2962,3589,59,8.17,0.967026,1.211681,0.016439,2.66732,2.2764
2026-02-26,sports,desktop,MX,video_preroll,837,741,693,13,4.5,0.885305,0.935223,0.018759,5.376344,6.493506
2026-02-26,sports,desktop,US,in_article,3325,3213,2880,50,15.14,0.966316,0.896359,0.017361,4.553383,5.256944
2026-02-26,sports,desktop,US,sidebar_rectangle,2333,2139,2078,53,12.14,0.916845,0.971482,0.025505,5.203601,5.842156
2026-02-26,sports,desktop,US,top_banner,4262,3808,2900,34,14.3,0.893477,0.761555,0.011724,3.355232,4.931034
2026-02-26,sports,desktop,US,video_preroll,1243,1142,978,12,8.2,0.918745,0.856392,0.01227,6.596943,8.384458
2026-02-26,sports,mobile,AR,in_article,2269,1895,1644,33,3.99,0.83517,0.867546,0.020073,1.758484,2.427007
2026-02-26,sports,mobile,AR,sidebar_rectangle,1683,1390,1314,28,3.92,0.825906,0.945324,0.021309,2.329174,2.983257
2026-02-26,sports,mobile,AR,top_banner,3741,3025,2419,71,1.96,0.808607,0.799669,0.029351,0.523924,0.810252
2026-02-26,sports,mobile,AR,video_preroll,912,843,651,6,3.04,0.924342,0.772242,0.009217,3.333333,4.669739
2026-02-26,sports,mobile,BR,in_article,7777,7229,6367,102,18.49,0.929536,0.880758,0.01602,2.377523,2.904036
2026-02-26,sports,mobile,BR,sidebar_rectangle,6196,5436,5012,144,19.88,0.87734,0.922001,0.028731,3.208522,3.96648
2026-02-26,sports,mobile,BR,top_banner,8769,7782,7116,157,21.34,0.887444,0.914418,0.022063,2.433573,2.998876
2026-02-26,sports,mobile,BR,video_preroll,2648,2327,2178,18,14.37,0.878776,0.935969,0.008264,5.426737,6.597796
2026-02-26,sports,mobile,MX,in_article,3309,2911,2317,20,8.48,0.879722,0.795946,0.008632,2.562708,3.659905
2026-02-26,sports,mobile,MX,sidebar_rectangle,2435,2156,2036,64,2.36,0.885421,0.944341,0.031434,0.969199,1.159136
2026-02-26,sports,mobile,MX,top_banner,4138,3782,3197,70,2.2,0.913968,0.84532,0.021896,0.531658,0.688145
2026-02-26,sports,mobile,MX,video_preroll,1243,1062,825,13,3.28,0.854385,0.776836,0.015758,2.638777,3.975758
2026-02-26,sports,mobile,US,in_article,4698,3944,3641,16,20.47,0.839506,0.923174,0.004394,4.357173,5.622082
2026-02-26,sports,mobile,US,sidebar_rectangle,2936,2497,1982,41,3.32,0.850477,0.793753,0.020686,1.13079,1.675076
2026-02-26,sports,mobile,US,top_banner,6504,6113,4720,55,13.56,0.939883,0.772125,0.011653,2.084871,2.872881
2026-02-26,sports,mobile,US,video_preroll,1319,1269,1242,20,6.13,0.962092,0.978723,0.016103,4.64746,4.935588
2026-02-26,sports,tablet,AR,in_article,702,615,525,2,2.16,0.876068,0.853659,0.00381,3.076923,4.114286
2026-02-26,sports,tablet,AR,sidebar_rectangle,469,369,300,1,0.69,0.78678,0.813008,0.003333,1.471215,2.3
2026-02-26,sports,tablet,AR,top_banner,899,732,646,4,1.94,0.814238,0.882514,0.006192,2.157953,3.003096
2026-02-26,sports,tablet,AR,video_preroll,256,214,165,0,0.6,0.835938,0.771028,0.0,2.34375,3.636364
2026-02-26,sports,tablet,BR,in_article,2008,1791,1517,17,5.83,0.891932,0.847013,0.011206,2.903386,3.843111
2026-02-26,sports,tablet,BR,sidebar_rectangle,1308,1041,869,20,3.09,0.795872,0.834774,0.023015,2.362385,3.555811
2026-02-26,sports,tablet,BR,top_banner,2950,2434,2306,31,8.58,0.825085,0.947412,0.013443,2.908475,3.720729
2026-02-26,sports,tablet,BR,video_preroll,867,725,616,3,3.02,0.836217,0.849655,0.00487,3.483276,4.902597
2026-02-26,sports,tablet,MX,in_article,822,678,563,4,2.14,0.824818,0.830383,0.007105,2.603406,3.801066
2026-02-26,sports,tablet,MX,sidebar_rectangle,622,551,514,13,1.15,0.885852,0.932849,0.025292,1.848875,2.237354
2026-02-26,sports,tablet,MX,top_banner,1160,1021,942,19,2.83,0.880172,0.922625,0.02017,2.439655,3.004246
2026-02-26,sports,tablet,MX,video_preroll,328,317,287,5,2.01,0.966463,0.905363,0.017422,6.128049,7.003484
2026-02-26,sports,tablet,US,in_article,1529,1212,974,4,3.44,0.792675,0.80363,0.004107,2.249836,3.531828
2026-02-26,sports,tablet,US,sidebar_rectangle,947,800,681,21,3.54,0.844773,0.85125,0.030837,3.73812,5.198238
2026-02-26,sports,tablet,US,top_banner,1490,1273,1223,21,2.15,0.854362,0.960723,0.017171,1.442953,1.757972
2026-02-26,sports,tablet,US,video_preroll,449,374,358,2,1.82,0.832962,0.957219,0.005587,4.053452,5.083799
2026-02-26,technology,desktop,AR,in_article,1512,1296,1156,34,2.7,0.857143,0.891975,0.029412,1.785714,2.33564
2026-02-26,technology,desktop,AR,sidebar_rectangle,1051,895,757,5,0.94,0.85157,0.84581,0.006605,0.894386,1.241744
2026-02-26,technology,desktop,AR,top_banner,2069,1962,1661,21,4.72,0.948284,0.846585,0.012643,2.281295,2.841662
2026-02-26,technology,desktop,AR,video_preroll,525,443,429,3,0.78,0.84381,0.968397,0.006993,1.485714,1.818182
2026-02-26,technology,desktop,BR,in_article,3995,3154,2809,34,8.54,0.789487,0.890615,0.012104,2.137672,3.040228
2026-02-26,technology,desktop,BR,sidebar_rectangle,2400,1880,1675,17,6.36,0.783333,0.890957,0.010149,2.65,3.797015
2026-02-26,technology,desktop,BR,top_banner,5190,4933,4704,89,13.59,0.950482,0.953578,0.01892,2.618497,2.889031
2026-02-26,technology,desktop,BR,video_preroll,1456,1304,1149,11,6.39,0.895604,0.881135,0.009574,4.388736,5.561358
2026-02-26,technology,desktop,MX,in_article,1683,1549,1426,36,3.85,0.92038,0.920594,0.025245,2.287582,2.69986
2026-02-26,technology,desktop,MX,sidebar_rectangle,1070,1018,967,25,0.98,0.951402,0.949902,0.025853,0.915888,1.013444
2026-02-26,technology,desktop,MX,top_banner,1975,1716,1581,45,3.19,0.868861,0.921329,0.028463,1.61519,2.01771
2026-02-26,technology,desktop,MX,video_preroll,679,625,478,9,1.73,0.920471,0.7648,0.018828,2.547865,3.619247
2026-02-26,technology,desktop,US,in_article,2674,2092,1956,36,6.42,0.782349,0.93499,0.018405,2.400898,3.282209
2026-02-26,technology,desktop,US,sidebar_rectangle,1728,1639,1388,32,2.56,0.948495,0.846858,0.023055,1.481481,1.84438
2026-02-26,technology,desktop,US,top_banner,3717,3299,3057,96,10.23,0.887544,0.926644,0.031403,2.75222,3.346418
2026-02-26,technology,desktop,US,video_preroll,858,698,561,10,6.16,0.81352,0.803725,0.017825,7.179487,10.980392
2026-02-26,technology,mobile,AR,in_article,2362,2173,1803,52,5.03,0.919983,0.829728,0.028841,2.129551,2.789795
2026-02-26,technology,mobile,AR,sidebar_rectangle,1443,1164,1062,9,2.63,0.806653,0.912371,0.008475,1.822592,2.47646
2026-02-26,technology,mobile,AR,top_banner,2742,2319,1772,15,5.78,0.845733,0.764122,0.008465,2.10795,3.261851
2026-02-26,technology,mobile,AR,video_preroll,669,522,398,8,1.97,0.780269,0.762452,0.020101,2.944694,4.949749
2026-02-26,technology,mobile,BR,in_article,6256,4881,3829,107,2.51,0.780211,0.78447,0.027945,0.401215,0.655524
2026-02-26,technology,mobile,BR,sidebar_rectangle,4048,3533,2943,47,10.18,0.872777,0.833003,0.01597,2.514822,3.459055
2026-02-26,technology,mobile,BR,top_banner,8265,7543,6076,75,12.57,0.912644,0.805515,0.012344,1.520871,2.068795
2026-02-26,technology,mobile,BR,video_preroll,1960,1625,1350,9,5.78,0.829082,0.830769,0.006667,2.94898,4.281481
2026-02-26,technology,mobile,MX,in_article,2319,1920,1847,30,5.21,0.827943,0.961979,0.016243,2.246658,2.82079
2026-02-26,technology,mobile,MX,sidebar_rectangle,1976,1677,1574,20,5.55,0.848684,0.938581,0.012706,2.808704,3.526048
2026-02-26,technology,mobile,MX,top_banner,3228,3041,2725,23,9.35,0.942069,0.896087,0.00844,2.89653,3.431193
2026-02-26,technology,mobile,MX,video_preroll,928,761,647,5,1.08,0.820043,0.850197,0.007728,1.163793,1.669243
2026-02-26,technology,mobile,US,in_article,3520,3221,2554,13,4.54,0.915057,0.792921,0.00509,1.289773,1.777604
2026-02-26,technology,mobile,US,sidebar_rectangle,2736,2138,1713,8,2.78,0.781433,0.801216,0.00467,1.016082,1.622884
2026-02-26,technology,mobile,US,top_banner,4590,3779,3147,94,4.02,0.823312,0.83276,0.02987,0.875817,1.277407
2026-02-26,technology,mobile,US,video_preroll,1138,939,831,11,8.6,0.825132,0.884984,0.013237,7.557118,10.348977
2026-02-26,technology,tablet,AR,in_article,575,507,433,3,0.48,0.881739,0.854043,0.006928,0.834783,1.108545
2026-02-26,technology,tablet,AR,sidebar_rectangle,418,364,352,3,0.93,0.870813,0.967033,0.008523,2.22488,2.642045
2026-02-26,technology,tablet,AR,top_banner,695,659,613,11,1.48,0.948201,0.930197,0.017945,2.129496,2.414356
2026-02-26,technology,tablet,AR,video_preroll,190,157,120,0,0.85,0.826316,0.764331,0.0,4.473684,7.083333
2026-02-26,technology,tablet,BR,in_article,1611,1399,1143,6,2.72,0.868405,0.817012,0.005249,1.688392,2.379703
2026-02-26,technology,tablet,BR,sidebar_rectangle,1220,1102,957,6,1.49,0.903279,0.868421,0.00627,1.221311,1.556949
2026-02-26,technology,tablet,BR,top_banner,2125,2013,1653,15,2.18,0.947294,0.821162,0.009074,1.025882,1.318814
2026-02-26,technology,tablet,BR,video_preroll,587,543,517,9,3.9,0.925043,0.952118,0.017408,6.643952,7.54352
2026-02-26,technology,tablet,MX,in_article,628,521,492,4,1.05,0.829618,0.944338,0.00813,1.671975,2.134146
2026-02-26,technology,tablet,MX,sidebar_rectangle,506,418,382,10,1.45,0.826087,0.913876,0.026178,2.865613,3.795812
2026-02-26,technology,tablet,MX,top_banner,886,725,701,5,2.72,0.818284,0.966897,0.007133,3.069977,3.880171
2026-02-26,technology,tablet,MX,video_preroll,232,204,166,1,0.37,0.87931,0.813725,0.006024,1.594828,2.228916
2026-02-26,technology,tablet,US,in_article,1045,834,789,16,3.18,0.798086,0.946043,0.020279,3.043062,4.030418
2026-02-26,technology,tablet,US,sidebar_rectangle,725,600,477,13,2.04,0.827586,0.795,0.027254,2.813793,4.27673
2026-02-26,technology,tablet,US,top_banner,1264,1214,941,7,2.55,0.960443,0.775124,0.007439,2.017405,2.709883
2026-02-26,technology,tablet,US,video_preroll,362,302,254,2,2.4,0.834254,0.84106,0.007874,6.629834,9.448819
2026-02-27,home,desktop,AR,in_article,3117,2824,2215,60,2.85,0.905999,0.784348,0.027088,0.914341,1.286682
2026-02-27,home,desktop,AR,sidebar_rectangle,2091,1850,1609,37,4.83,0.884744,0.86973,0.022996,2.3099,3.001865
2026-02-27,home,desktop,AR,top_banner,4416,3502,2767,72,4.49,0.793025,0.79012,0.026021,1.016757,1.622696
2026-02-27,home,desktop,AR,video_preroll,1051,1019,890,3,5.24,0.969553,0.873405,0.003371,4.985728,5.88764
2026-02-27,home,desktop,BR,in_article,7338,7052,6305,70,18.3,0.961025,0.894073,0.011102,2.493868,2.902458
2026-02-27,home,desktop,BR,sidebar_rectangle,6622,6393,5420,125,3.98,0.965418,0.847802,0.023063,0.601027,0.734317
2026-02-27,home,desktop,BR,top_banner,11877,10786,10357,100,26.94,0.908142,0.960226,0.009655,2.26825,2.601139
2026-02-27,home,desktop,BR,video_preroll,3035,2871,2567,27,18.57,0.945964,0.894114,0.010518,6.118616,7.234125
2026-02-27,home,desktop,MX,in_article,3516,2747,2290,60,8.41,0.781286,0.833637,0.026201,2.391923,3.672489
2026-02-27,home,desktop,MX,sidebar_rectangle,2551,2365,1857,27,7.88,0.927087,0.785201,0.01454,3.088985,4.243403
2026-02-27,home,desktop,MX,top_banner,4922,4222,3412,91,12.79,0.857781,0.808148,0.026671,2.598537,3.748535
2026-02-27,home,desktop,MX,video_preroll,1234,998,851,11,6.14,0.808752,0.852705,0.012926,4.975689,7.215041
2026-02-27,home,desktop,US,in_article,5388,4452,4277,127,24.44,0.826281,0.960692,0.029694,4.536006,5.714286
2026-02-27,home,desktop,US,sidebar_rectangle,4111,3788,3516,89,12.97,0.92143,0.928194,0.025313,3.15495,3.688851
2026-02-27,home,desktop,US,top_banner,7754,6522,5738,101,26.02,0.841114,0.879791,0.017602,3.355687,4.534681
2026-02-27,home,desktop,US,video_preroll,1833,1513,1364,10,6.01,0.825423,0.90152,0.007331,3.278778,4.406158
2026-02-27,home,mobile,AR,in_article,4544,3623,3285,73,9.97,0.797315,0.906707,0.022222,2.194102,3.035008
2026-02-27,home,mobile,AR,sidebar_rectangle,3241,2729,2192,56,8.22,0.842024,0.803225,0.025547,2.536254,3.75
2026-02-27,home,mobile,AR,top_banner,6208,5605,4681,72,10.46,0.902867,0.835147,0.015381,1.684923,2.234565
2026-02-27,home,mobile,AR,video_preroll,1495,1355,1068,8,2.21,0.906355,0.788192,0.007491,1.478261,2.069288
2026-02-27,home,mobile,BR,in_article,13329,12900,12126,300,28.34,0.967815,0.94,0.02474,2.126191,2.337127
2026-02-27,home,mobile,BR,sidebar_rectangle,9311,8891,7424,40,13.98,0.954892,0.835002,0.005388,1.50145,1.883082
2026-02-27,home,mobile,BR,top_banner,17822,15960,13762,209,35.3,0.895522,0.862281,0.015187,1.980698,2.565034
2026-02-27,home,mobile,BR,video_preroll,4479,4023,3722,63,9.47,0.898192,0.92518,0.016926,2.114311,2.544331
2026-02-27,home,mobile,MX,in_article,4839,4594,4249,134,10.89,0.94937,0.924902,0.031537,2.250465,2.562956
2026-02-27,home,mobile,MX,sidebar_rectangle,3629,3039,2943,41,9.74,0.837421,0.968411,0.013931,2.683935,3.309548
2026-02-27,home,mobile,MX,top_banner,6134,4991,4537,125,3.61,0.813662,0.909036,0.027551,0.588523,0.79568
2026-02-27,home,mobile,MX,video_preroll,1940,1720,1579,18,11.13,0.886598,0.918023,0.0114,5.737113,7.048765
2026-02-27,home,mobile,US,in_article,8265,6544,5633,42,10.46,0.791773,0.860789,0.007456,1.265578,1.856915
2026-02-27,home,mobile,US,sidebar_rectangle,5792,4950,4765,61,24.11,0.854627,0.962626,0.012802,4.162638,5.059811
2026-02-27,home,mobile,US,top_banner,10931,9435,8497,34,55.66,0.863142,0.900583,0.004001,5.09194,6.550547
2026-02-27,home,mobile,US,video_preroll,3296,2984,2661,29,30.22,0.90534,0.891756,0.010898,9.168689,11.356633
